target,poly_a3,poly_a2,poly_a1,poly_a0,r2_poly,r2_gp,kernel_lengthscale
B (GPa),2.274561626429446e-05,-0.0060143673565877,0.22629987597461856,170.63113119757523,0.9445190496412178,0.9299041088128706,45.883642376647714
G (GPa),1.840643795002104e-05,-0.0033861262683614122,0.2839980494778801,43.70286094495125,0.9520144418036363,0.9276183398744261,87.9317566378223
G/B,8.809487505294425e-08,-1.1275803793932738e-05,0.001320936983737675,0.25601392383991795,0.9787174854764632,0.9716481612841791,100.00000000000004
