,I_FeTi,I_AlCa,I_KREEP
count,11306.0,11306.0,11306.0
mean,0.14950991786256873,0.539791163371158,0.11084634868480332
std,0.11829523198771776,0.11137880723033829,0.15051252232608164
min,0.007415896762356804,0.07652508890865264,0.0
25%,0.08084955465405207,0.4758571159438467,0.014280692261569573
50%,0.10482483072895514,0.5609211105673464,0.05370899437343905
75%,0.1609094328553892,0.6196590035396339,0.13014432426644704
max,0.7807038271387395,0.8360873902196022,0.876037933683426
